bodyId,type,instance,volume_source_voxels,relative_to_whole_cns_median,effective_theta,effective_gain_q,prepared_model_hz,final_identity_model_hz
10442,DNa01,DNa01(VES006)_L,8291999725.0,43.86958086891533,322.96826171875,0.0001069131233975199,0.0,0.0
10760,DNa01,DNa01(VES006)_R,8413579951.0,44.51281214405481,324.7102966308594,0.00010904931326627615,6.6024088859558105,6.698992729187012
10360,DNa02,DNa02_R,15625110542.0,82.66607250858422,641.8660278320312,6.767527340244853e-05,0.0,0.0
523769,DNa02,DNa02_L,15678046977.0,82.94613754635104,547.9972534179688,5.593889479398343e-05,0.0,0.0
10975,DNa03,DNa03_R,4283814144.0,22.66390946094867,175.61532592773438,0.0002445473228540243,0.0,0.0
519624,DNa03,DNa03_L,4549020432.0,24.06700751741428,184.01197814941406,0.00018521661058130832,0.0,0.0
10971,DNa11,DNa11(VES008)_L,4430604630.0,23.44051791607792,170.64178466796875,0.0002458850147672011,0.0,0.0
11233,DNa11,DNa11(VES008)_R,4382799642.0,23.18760126671038,184.27879333496094,0.0001981259453434468,0.0,0.0
10805,DNb02,DNb02_R,2875282516.0,15.211944409059942,104.37769317626953,0.0003459995451612245,0.6851550340652466,0.5075109601020813
12767,DNb02,DNb02_L,2683193838.0,14.195681737449199,97.83916473388672,0.000334602127656399,0.0,0.0
13922,DNb02,DNb02_R,2837134552.0,15.010119125993803,114.16260528564453,0.0003641178906730757,5.435494899749756,5.2321672439575195
529488,DNb02,DNb02_L,2907714367.0,15.38352807492567,128.4536895751953,0.00031464450189488583,1.3565970433128554e-40,0.0
10065,DNb05,DNb05_R,15280107409.0,80.84080196527475,566.957275390625,5.08413860550008e-05,149.43804931640625,149.47291564941406
10118,DNb05,DNb05_L,15537294586.0,82.20147418356159,566.957275390625,6.486901658325508e-05,139.74473571777344,139.76849365234375
11074,DNg13,DNg13_L,7163128936.0,37.897186993975616,284.58477783203125,0.00012994579420231195,0.0,0.0
512006,DNg13,DNg13_R,7363893069.0,38.9593479515631,307.74310302734375,0.00013072376711535907,0.0,0.0
10045,DNg100,DNg100_L,16688976137.0,88.29455047546081,663.258544921875,5.64052823774715e-05,0.0,0.0
10056,DNg100,DNg100_R,16542412146.0,87.51914031278795,559.1860961914062,5.7706444761764594e-05,0.0,0.0
10783,DNp09,DNp09_L,5594143150.0,29.596324583960804,188.37411499023438,0.00015913539750662226,0.0,0.0
11177,DNp09,DNp09_R,4985441081.0,26.37593076742922,204.20736694335938,0.00019873336181496843,0.0,0.0
14674,LAL013,LAL013_R,1358720996.0,7.188437360001863,55.06699752807617,0.0005575017035691652,0.0,0.0
512258,LAL013,LAL013_L,1262406230.0,6.678875305487003,52.0065803527832,0.0006989319379934785,0.0,0.0
