condition,type,side,id,source,max_abs_delta_q,final_delta_q,min_delta_q,max_delta_q,baseline_max_q,pulse_end_delta_q,max_abs_delta_synaptic_input,maximum_argument_over_all_queries,classification,tau_s,gain,theta
DNp09_bilateral,DNa01,L,10442,False,3.162659382969157e-80,2.5737787947340145e-85,-3.162659382969157e-80,6.325318765938314e-81,2.192793209806263e-65,-1.6867516709168837e-80,13.22013835279381,-0.0318186602858773,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.017757754772901535,0.0001069131233975199,322.96826171875
DNp09_bilateral,DNa01,R,10760,False,0.0030104491777868496,-0.00021036909352189354,-0.0030104491777868496,9.698366503593792e-06,0.03290040538306633,-0.0008264236900463115,33.44953171655561,0.03509032574076014,MATERIAL_PANEL_RESPONSE,0.020287340506911278,0.00010904931326627615,324.7102966308594
DNp09_bilateral,DNa02,R,10360,False,0.0,0.0,0.0,0.0,2.6e-322,0.0,5.336957058075768,-0.02561932621418576,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.02128838188946247,6.767527340244853e-05,641.8660278320312
DNp09_bilateral,DNa02,L,523769,False,3.7092061506874214e-67,-3.839607929422526e-69,-3.199190304967901e-67,3.7092061506874214e-67,4.84598334015514e-52,-5.563809226031132e-68,54.28734787850135,-0.030764161650022753,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.02310219220817089,5.593889479398343e-05,547.9972534179688
DNp09_bilateral,DNa03,R,10975,False,0.0,0.0,0.0,0.0,2.57e-322,0.0,5.697369118415281,-0.6051637662063813,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.021164411678910255,0.0002445473228540243,175.61532592773438
DNp09_bilateral,DNa03,L,519624,False,0.0,0.0,0.0,0.0,0.0,0.0,8.118030977202125,-0.42150769513929665,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.019608700647950172,0.00018521661058130832,184.01197814941406
DNp09_bilateral,DNa11,L,10971,False,0.0,0.0,0.0,0.0,2.67e-322,0.0,190.183966967812,-0.5639972428314829,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.02157508209347725,0.0002458850147672011,170.64178466796875
DNp09_bilateral,DNa11,R,11233,False,0.0,0.0,0.0,0.0,1.63e-322,0.0,69.66666757242547,-0.39884210707604223,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.0165187306702137,0.0001981259453434468,184.27879333496094
DNp09_bilateral,DNb02,R,10805,False,0.00038207656070597847,6.672586002260707e-05,8.94675692038327e-11,0.00038207656070597847,0.004375022051082948,0.00022314434744022567,1.2877321764155454,0.005189713421071749,NO_MATERIAL_Q_EFFECT_IN_THIS_WINDOW,0.018618112429976463,0.0003459995451612245,104.37769317626953
DNp09_bilateral,DNb02,L,12767,False,0.0,0.0,0.0,0.0,2.9e-322,0.0,32.57328124591237,-0.07392335712344453,SUBTHRESHOLD_AT_ALL_EXECUTED_QUERIES,0.02372891455888748,0.000334602127656399,97.83916473388672
