ms,theta_odd_deg,theta_common_deg,theta_uniform_minus_sham_deg,command_odd_deg,command_common_deg,command_uniform_minus_sham_deg,residual_odd_deg,residual_common_deg,residual_uniform_minus_sham_deg
250,0.03871977351302114,-0.006203808423558499,0.00040117531616701285,0.039077289237391996,-0.006403545720790146,0.00014261270618000366,-0.0003575157243708611,0.00019973729723165093,0.0002585626099870092
275,0.04459895287918947,-0.010822583326488555,-0.00636553601574974,0.04498997609887451,-0.010986138365931084,-0.006553699247342351,-0.00039102321968503655,0.00016355503944252663,0.00018816323159261128
300,0.05075089590325277,-0.013431979552699147,-0.009757155772419424,0.051178875579560995,-0.013525812972609796,-0.009831369853282784,-0.00042797967630822664,9.383341991064942e-05,7.421408086336068e-05
320,0.05589133339239183,-0.013679863487674027,-0.009585616936430341,0.056349347186594616,-0.013705215066807996,-0.00955054772016281,-0.00045801379420278704,2.5351579133962854e-05,-3.5069216267530345e-05
350,0.0639135946752436,-0.010892382417262425,-0.004355230259889709,0.06441513937633367,-0.010799072470023346,-0.00413018914891744,-0.0005015447010900641,-9.330994723908206e-05,-0.0002250411109722683
400,0.07780256327193058,0.002414239682366315,0.017716280171988785,0.07837303051657223,0.00272505219890673,0.018280738847317193,-0.000570467244641646,-0.00031081251654041433,-0.0005644586753284081
