type,side,time_ms,n,odor_left,odor_right,uniform,sham,anti_odor,common_vs_sham
ORN_DM1,L,0,35,0.30925355965615264,0.30925355965615264,0.30925355965615264,0.30925355965615264,0,0
ORN_DM1,L,1,35,0.30986794488167368,0.30986794488167368,0.30986794488167368,0.30986794488167368,0,0
ORN_DM1,L,20,35,0.28761987488132762,0.13630530697316637,0.29287646753150104,0.13630529035712632,0.075657283954080626,0.075657300570120684
ORN_DM1,L,40,35,0.40081011113697157,0.069771805015979696,0.45656495254440765,0.069769225704966104,0.16551915306049594,0.16552173237150952
ORN_DM1,L,60,35,0.45531756489534697,0.045885833018408644,0.54075617677700105,0.045870905989355192,0.20471586593846916,0.20473079296752258
ORN_DM1,L,100,35,0.49237881133802536,0.033952269214594474,0.58775240150345354,0.033899552636084851,0.22921327106171543,0.22926598764022504
ORN_DM1,L,160,35,0.50227177864308192,0.032107242407859428,0.5954881493336156,0.0320275737419475,0.23508226811761124,0.23516193678352318
ORN_DM1,L,220,35,0.50331567156707124,0.031999453708765287,0.59600165472487499,0.031915580436274738,0.23565810892915298,0.23574198220164355
ORN_DM1,L,320,35,0.50336212775787081,0.031991083744569188,0.59604120413532669,0.031906457337231596,0.23568552200665083,0.23577014841398838
ORN_DM1,L,335,35,0.50333177252289119,0.03199085013946492,0.5960414448107848,0.031905839421990594,0.23567046119171314,0.23575547190918744
ORN_DM1,R,0,39,0.30892678168176496,0.30892678168176496,0.30892678168176496,0.30892678168176496,0,0
ORN_DM1,R,1,39,0.30979175681339227,0.30979175681339227,0.30979175681339227,0.30979175681339227,0,0
ORN_DM1,R,20,39,0.13911615314943268,0.28988087923310119,0.29503978373213202,0.1391161507425647,-0.075382363041834252,0.075382365448702221
ORN_DM1,R,40,39,0.071321739735750594,0.41596082549559382,0.46010519644523201,0.071321318346081422,-0.17231954287992163,0.17231996426959079
ORN_DM1,R,60,39,0.046317836555400685,0.49540163224834854,0.54425946670183145,0.04631528140143551,-0.22454189784647394,0.2245444530004391
ORN_DM1,R,100,39,0.033568056619900657,0.56195376475063885,0.58877794464425814,0.033557928143525879,-0.26419285406536908,0.2642029825417439
ORN_DM1,R,160,39,0.031583011807849296,0.58008666432756417,0.59567784916250954,0.031567099371983542,-0.27425182625985745,0.27426773869572318
ORN_DM1,R,220,39,0.031470964833472198,0.58195030611942355,0.59605407035103786,0.031455474160569576,-0.27523967064297566,0.27525516131587829
ORN_DM1,R,320,39,0.031464366266541463,0.5821073416251783,0.59607590312515435,0.031448236161084817,-0.27532148767931841,0.27533761778477506
ORN_DM1,R,335,39,0.031464085960578668,0.58210702305264594,0.59607602064067755,0.03144791158952788,-0.27532146854603362,0.27533764291708446
DM1_lPN,L,0,1,0.61046689467052462,0.61046689467052462,0.61046689467052462,0.61046689467052462,0,0
DM1_lPN,L,1,1,0.63034150944828415,0.63034150944828415,0.63034150944828415,0.63034150944828415,0,0
DM1_lPN,L,20,1,0.8627085270277467,0.86270747037165918,0.86272764302265825,0.86268800867280093,5.2832804375846365e-07,1.9990026902005908e-05
DM1_lPN,L,40,1,0.94956634374521731,0.9495417158623628,0.95013196150045687,0.94890094973734951,1.2313941427255504e-05,0.00065308006644060335
DM1_lPN,L,60,1,0.97871944837439684,0.97868284875801992,0.98051158854250553,0.97630454232186237,1.8299808188459998e-05,0.0023966062443460112
DM1_lPN,L,100,1,0.99179156827418591,0.99179276101325087,0.99515936523344317,0.98582892830503555,-5.9636953247954594e-07,0.0059632363386828979
DM1_lPN,L,160,1,0.99283480158541382,0.99289951045177904,0.99736273794190211,0.9830694339692797,-3.2354433182613107e-05,0.0097977220493167261
