         433079 function calls (409125 primitive calls) in 3.162 seconds

   Ordered by: cumulative time
   List reduced from 788 to 70 due to restriction <70>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.001    0.000    0.041    0.001 /home/daroch/AXIOMA_FLYWIRE/matrix/gemini_work/test_self_calibrating_embodied.py:41(macro_body_advance)
     2131    0.010    0.000    0.039    0.000 /home/daroch/miniconda3/envs/GPU/lib/python3.10/site-packages/cupy/_manipulation/basic.py:12(copyto)
      233    0.001    0.000    0.037    0.000 /home/daroch/AXIOMA_FLYWIRE/matrix/src/kcgamma_regional_brain.py:41(_record_hash)
     2010    0.035    0.000    0.035    0.000 {method 'astype' of 'cupy._core.core._ndarray_base' objects}
      689    0.000    0.000    0.034    0.000 /home/daroch/miniconda3/envs/GPU/lib/python3.10/site-packages/cupy/_creation/from_data.py:56(asarray)
      689    0.033    0.000    0.033    0.000 {built-in method cupy._core.core.array}
13034/233    0.004    0.000    0.030    0.000 /home/daroch/AXIOMA_FLYWIRE/matrix/src/kcgamma_regional_brain.py:42(encode)
 1250/233    0.002    0.000    0.030    0.000 /home/daroch/AXIOMA_FLYWIRE/matrix/src/kcgamma_regional_brain.py:44(<dictcomp>)
       26    0.004    0.000    0.029    0.001 /home/daroch/AXIOMA_FLYWIRE/matrix/src/kc_spatial_brain.py:48(validate_spatial)
      476    0.000    0.000    0.029    0.000 /home/daroch/miniconda3/envs/GPU/lib/python3.10/site-packages/numpy/lib/arraysetops.py:138(unique)
      476    0.004    0.000    0.028    0.000 /home/daroch/miniconda3/envs/GPU/lib/python3.10/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
     1733    0.001    0.000    0.028    0.000 /home/daroch/miniconda3/envs/GPU/lib/python3.10/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
       32    0.012    0.000    0.028    0.001 /home/daroch/AXIOMA_FLYWIRE/matrix/src/hybrid_visual_brain.py:80(publish_rates)
        8    0.001    0.000    0.028    0.003 /home/daroch/AXIOMA_FLYWIRE/matrix/work/motor13_20260922/waveform_coupling.py:18(restore_parent)
       24    0.000    0.000    0.027    0.001 /home/daroch/AXIOMA_FLYWIRE/matrix/work/motor13_20260922/block_midpoint.py:55(components)
      512    0.025    0.000    0.025    0.000 {method 'sort' of 'numpy.ndarray' objects}
       16    0.000    0.000    0.025    0.002 /home/daroch/AXIOMA_FLYWIRE/matrix/src/projection_parallel_brain.py:38(conductance_components)
       61    0.015    0.000    0.024    0.000 /home/daroch/AXIOMA_FLYWIRE/matrix/src/hybrid_visual_brain.py:73(release)
       43    0.000    0.000    0.024    0.001 /home/daroch/AXIOMA_FLYWIRE/matrix/src/kc_projected_batch.py:95(state_dict)
       43    0.000    0.000    0.024    0.001 /home/daroch/AXIOMA_FLYWIRE/matrix/src/kc_projected_batch.py:96(<dictcomp>)
    14105    0.023    0.000    0.023    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      670    0.012    0.000    0.023    0.000 /home/daroch/miniconda3/envs/GPU/lib/python3.10/site-packages/cupy/_sorting/search.py:177(where)
       13    0.000    0.000    0.023    0.002 /home/daroch/AXIOMA_FLYWIRE/matrix/src/pn_graph_solver_brain.py:40(validate_online)
       13    0.000    0.000    0.022    0.002 /home/daroch/AXIOMA_FLYWIRE/matrix/src/pn_inhibitory_closure_brain.py:42(validate_online)
       16    0.001    0.000    0.022    0.001 /home/daroch/AXIOMA_FLYWIRE/matrix/src/projection_parallel_brain.py:24(_conductance_values)


