id,tipo,lado,L_sham,R_sham,U_sham,impar_L_R,comun_LR_sham,R_uniform,L_uniform,residuo_cuatro
11222,DNg111,L,7.363721702373877e-12,4.9991087716767855e-12,1.157269939700701e-11,1.1823064653485455e-12,6.181415237705131e-12,-6.573590625330224e-12,-4.208977694633133e-12,-7.90131077043652e-13
11706,DNg111,R,-4.1597117773255147e-10,4.324302066858128e-09,2.4906500038307184e-09,-2.37013662229534e-09,1.954165444565174e-09,1.8336520630274095e-09,-2.90662118156327e-09,-1.4176808852948582e-09
523769,DNa02,unknown,0.003494235263151591,0.020033156296549892,0.01491021448541145,-0.008269460516699153,0.011763695779850742,0.005122941811138446,-0.011415979222259856,-0.008617177074290038
10360,DNa02,unknown,0.0006552830652214577,4.3046858918686914e-10,9.156436519145026e-10,0.0003276413173764342,0.0003276417478450234,-4.851750627276334e-10,0.0006552821495778055,-0.0006552825800463946
10442,DNa01,L,-0.027302140455472558,0.005037704094859908,-0.014127995307331805,-0.016169922275166226,-0.011132218180306325,0.01916569940219171,-0.013174145148140753,0.008136441053280846
10760,DNa01,R,0.00014848314405269442,-0.0011119089914263121,-0.0018792019952699967,0.0006301960677395032,-0.00048171292368680697,0.0007672930038436846,0.002027685139322691,-0.0009157761478963794
11074,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512006,DNg13,R,7.939684609865285e-13,-1.752074782595042e-13,1.3805543232231664e-12,4.845879696230163e-13,3.0938049166020156e-13,-1.5557618014826706e-12,-5.86585862236638e-13,7.617933404961421e-13
10342,unknown,unknown,0.009802378074471098,0.021500162838772003,0.03082772648815769,-0.005848892382150455,0.015651270456621555,-0.009327563649385692,-0.0210253484136866,-0.00047481442508540616
10705,unknown,unknown,0.002096263398337276,0.0022487187856290885,0.0033524226964502793,-7.622769364590626e-05,0.002172491091983183,-0.0011037039108211912,-0.0012561592981130036,-0.0009925594875160849
10504,unknown,unknown,7.295061552901994e-11,3.6390200386039656e-11,1.1433521737040203e-10,1.8280207571490145e-11,5.467040795720375e-11,-7.794501698436238e-11,-4.138460184138209e-11,4.994401455342431e-12
10724,unknown,unknown,2.924840615935479e-07,6.756382045393942e-07,9.277623675019914e-07,-1.9157707147292313e-07,4.840611330664707e-07,-2.521241629625973e-07,-6.352783059084435e-07,-4.035989863095055e-08
