interfaz,odor_left,odor_right,uniform,sham,L_sham,R_sham,U_sham,impar_L_R,comun_LR_sham,R_uniform,L_uniform,residuo_cuatro,primer_impar_negativo_3muestras_ms
ORN_q_L_R,0.47176044656540056,-0.5497889645152179,-6.262901651206896e-05,0.0004602716103997899,0.47130017495500065,-0.5502492361256177,-0.0005229006269118589,0.5107747055403092,-0.039474530585308525,-0.5497263354987059,0.4718230755819125,0.0784261605437052,
entrada_DNa02_L_R,2088.607196029115,2306.5716768153297,2267.950578781927,2109.3557383452817,-20.74854231616598,197.2159384700483,158.59484043664614,-108.98224039310713,88.23369807694117,38.621098033402156,-179.34338275281215,-17.872555717236175,12
target_DNa02_L_R,0.2220553971032073,0.2460662469303275,0.24096175357497182,0.2196771734344397,0.0023782236687676147,0.026389073495887854,0.021284580140532142,-0.012005424913560122,0.014383648582327739,0.005104493355355712,-0.01890635647176453,-0.007482717024123326,16
DNa02_q_L_R,0.17642845531221993,0.1936226589803711,0.18849971668405763,0.17358950311428978,0.002838952197930133,0.020033155866081304,0.014910213569767797,-0.008597101834075587,0.011436054032005724,0.0051229422963135094,-0.012071261371837666,-0.007961894494243643,26
mando,0.5118214933948273,0.5420970842288603,0.5278886930342191,0.5163882822103609,-0.004566788815533844,0.025708802018499156,0.011500410823858238,-0.015137795417016502,0.010571006601482656,0.014208391194640924,-0.016067199639392078,-0.009641602379107078,19
yaw_grados,-21.259264775955177,-21.247196445462055,-21.252923352275605,-21.257458786032394,-0.0018059899227805608,0.010262340570340305,0.004535433756792061,-0.006034165246560433,0.004228175323779966,0.005726906813548245,-0.006341423679572621,-0.003920916890767684,215
