condition,source_bodyId,target_bodyId,target_type,reachable,minimum_hops,one_path,path_signed_weights,direct_signed_weight,target_current_actuator
DNa03_left,519624,10442,DNa01,True,1,"[519624, 10442]",[0.08999999612569809],0.08999999612569809,False
DNa03_left,519624,10760,DNa01,True,2,"[519624, 10005, 10760]","[0.5099999904632568, -0.08999999612569809]",0.0,False
DNa03_left,519624,10360,DNa02,True,2,"[519624, 10070, 10360]","[0.05999999865889549, -8.670000076293945]",0.0,False
DNa03_left,519624,523769,DNa02,True,1,"[519624, 523769]",[7.649999618530273],7.649999618530273,False
DNa03_left,519624,10975,DNa03,True,2,"[519624, 10070, 10975]","[0.05999999865889549, -6.779999732971191]",0.0,False
DNa03_left,519624,519624,DNa03,True,0,[519624],[],0.0,False
DNa03_left,519624,10971,DNa11,True,1,"[519624, 10971]",[6.210000038146973],6.210000038146973,False
DNa03_left,519624,11233,DNa11,True,2,"[519624, 10070, 11233]","[0.05999999865889549, -1.5299999713897705]",0.0,False
DNa03_left,519624,10805,DNb02,True,1,"[519624, 10805]",[0.029999999329447746],0.029999999329447746,False
DNa03_left,519624,12767,DNb02,True,1,"[519624, 12767]",[0.32999998331069946],0.32999998331069946,False
DNa03_left,519624,13922,DNb02,True,2,"[519624, 10048, 13922]","[0.75, 0.029999999329447746]",0.0,False
DNa03_left,519624,529488,DNb02,True,1,"[519624, 529488]",[0.29999998211860657],0.29999998211860657,False
DNa03_left,519624,10065,DNb05,True,2,"[519624, 10221, 10065]","[0.05999999865889549, 0.029999999329447746]",0.0,True
DNa03_left,519624,10118,DNb05,True,2,"[519624, 10030, 10118]","[0.029999999329447746, 0.11999999731779099]",0.0,True
DNa03_left,519624,11074,DNg13,True,1,"[519624, 11074]",[0.11999999731779099],0.11999999731779099,False
DNa03_left,519624,512006,DNg13,True,2,"[519624, 10070, 512006]","[0.05999999865889549, -0.11999999731779099]",0.0,False
DNa03_left,519624,10045,DNg100,True,2,"[519624, 10030, 10045]","[0.029999999329447746, 0.14999999105930328]",0.0,True
